Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type
FDM44,12.5,Low Fat,Fruits and Vegetables
FDM45,8.655,Regular,Snack Foods
FDM46,7.365,Low Fat,Snack Foods
FDM50,13.0,Regular,Canned
FDM51,11.8,Regular,Meat
FDM52,15.1,Low Fat,Frozen Foods
FDM56,16.7,Low Fat,Fruits and Vegetables
FDM57,11.65,Regular,Snack Foods
FDM58,16.85,Regular,Snack Foods
FDM60,10.8,Regular,Baking Goods
FDN01,8.895,Low Fat,Breakfast
FDN02,16.5,Low Fat,Canned
FDN03,9.8,Regular,Meat
FDN04,11.8,Regular,Frozen Foods
FDN08,7.72,Regular,Fruits and Vegetables
FDN09,14.15,Low Fat,Snack Foods
FDN10,11.5,Low Fat,Snack Foods
FDN12,15.6,Low Fat,Baking Goods
FDN13,18.6,Low Fat,Breakfast
FDN15,17.5,Low Fat,Meat
FDN16,12.6,Regular,Frozen Foods
FDN20,19.35,Low Fat,Fruits and Vegetables
FDN21,18.6,Low Fat,Snack Foods
FDN22,18.85,Regular,Snack Foods
FDN23,6.575,Regular,Breads
FDN24,14.1,Low Fat,Baking Goods
FDN25,7.895,Regular,Breakfast
FDN27,20.85,Low Fat,Meat
FDN28,5.88,Regular,Frozen Foods
FDN31,11.5,Low Fat,Fruits and Vegetables
FDN32,17.5,Low Fat,Fruits and Vegetables
FDN33,6.305,Regular,Snack Foods
FDN34,15.6,Regular,Snack Foods
FDN38,6.615,Regular,Canned
FDN39,19.35,Regular,Meat
FDN40,5.88,Low Fat,Frozen Foods
FDN44,13.15,Low Fat,Fruits and Vegetables
FDN45,19.35,Low Fat,Snack Foods
FDN46,7.21,Regular,Snack Foods
FDN48,13.35,Low Fat,Baking Goods
FDN49,17.25,Regular,Breakfast
FDN50,16.85,Regular,Canned
FDN51,17.85,Regular,Meat
FDN52,,Regular,Frozen Foods
FDN56,5.46,Regular,Fruits and Vegetables
FDN57,18.25,Low Fat,Snack Foods
FDN58,13.8,Regular,Snack Foods
FDN60,15.1,Low Fat,Baking Goods
FDO01,21.1,Regular,Breakfast
FDO03,10.395,Regular,Meat
FDO04,16.6,Low Fat,Frozen Foods
FDO08,11.1,Regular,Fruits and Vegetables
FDO09,13.5,Regular,Snack Foods
FDO10,13.65,Regular,Snack Foods
FDO11,8.0,Regular,Breads
FDO12,15.75,Low Fat,Baking Goods
FDO13,7.865,Low Fat,Breakfast
FDO15,16.75,Regular,Meat
FDO16,5.48,Low Fat,Frozen Foods
FDO19,17.7,Regular,Fruits and Vegetables
FDO20,12.85,Regular,Fruits and Vegetables
FDO21,11.6,Regular,Snack Foods
FDO22,13.5,Regular,Snack Foods
FDO23,17.85,Low Fat,Breads
FDO24,11.1,Low Fat,Baking Goods
FDO25,6.3,Low Fat,Canned
FDO27,6.175,Regular,Meat
FDO28,5.765,Low Fat,Frozen Foods
FDO31,6.76,Regular,Fruits and Vegetables
FDO32,6.36,Low Fat,Fruits and Vegetables
FDO33,14.75,Low Fat,Snack Foods
FDO34,17.7,Low Fat,Snack Foods
FDO36,19.7,Low Fat,Baking Goods
FDO37,8.06,Low Fat,Breakfast
FDO38,17.25,Low Fat,Canned
FDO39,6.985,Regular,Meat
FDO40,17.1,Low Fat,Frozen Foods
FDO44,12.6,Low Fat,Fruits and Vegetables
FDO45,13.15,Regular,Snack Foods
FDO46,9.6,Regular,Snack Foods
FDO48,15.0,Regular,Baking Goods
FDO49,10.6,Regular,Breakfast
FDO50,16.25,Low Fat,Canned
FDO51,6.785,Regular,Meat
FDO52,11.6,Regular,Frozen Foods
FDO56,10.195,Regular,Fruits and Vegetables
FDO57,20.75,Low Fat,Snack Foods
FDO58,19.6,Low Fat,Snack Foods
FDO60,20.0,Low Fat,Baking Goods
FDP01,20.75,Regular,Breakfast
FDP03,5.15,Regular,Meat
FDP04,15.35,Low Fat,Frozen Foods
FDP07,18.2,Low Fat,Fruits and Vegetables
FDP08,20.5,Regular,Fruits and Vegetables
FDP09,19.75,Low Fat,Snack Foods
FDP10,19.0,Low Fat,Snack Foods
FDP11,15.85,Low Fat,Breads
FDP12,9.8,Regular,Baking Goods
FDP13,8.1,Regular,Canned
FDP15,15.2,Low Fat,Meat
FDP16,18.6,Low Fat,Frozen Foods
FDP19,11.5,Low Fat,Fruits and Vegetables
FDP20,19.85,Low Fat,Fruits and Vegetables
FDP21,7.42,Regular,Snack Foods
FDP22,14.65,Regular,Snack Foods
FDP23,6.71,Low Fat,Breads
FDP24,20.6,Low Fat,Baking Goods
FDP25,15.2,Low Fat,Canned
FDP26,7.785,Low Fat,Dairy
FDP27,8.155,Low Fat,Meat
FDP28,13.65,Regular,Frozen Foods
FDP31,21.1,Regular,Fruits and Vegetables
FDP32,6.65,Low Fat,Fruits and Vegetables
FDP33,18.7,Low Fat,Snack Foods
FDP34,12.85,Low Fat,Snack Foods
FDP36,10.395,Regular,Baking Goods
FDP37,15.6,Low Fat,Breakfast
FDP38,10.1,Low Fat,Canned
FDP39,12.65,Low Fat,Meat
FDP40,4.555,Regular,Frozen Foods
FDP44,16.5,Regular,Fruits and Vegetables
FDP45,15.7,Regular,Snack Foods
FDP46,15.35,Low Fat,Snack Foods
FDP48,7.52,Regular,Baking Goods
FDP49,9.0,Regular,Breakfast
FDP51,13.85,Regular,Meat
FDP52,18.7,Regular,Frozen Foods
FDP56,8.185,Low Fat,Fruits and Vegetables
FDP57,17.5,Low Fat,Snack Foods
FDP58,11.1,Low Fat,Snack Foods
FDP59,20.85,Regular,Breads
FDP60,17.35,Low Fat,Baking Goods
FDQ01,19.7,Regular,Canned
FDQ03,15.0,Regular,Meat
FDQ04,6.4,Low Fat,Frozen Foods
FDQ07,15.1,Regular,Fruits and Vegetables
FDQ08,15.7,Regular,Fruits and Vegetables
FDQ09,7.235,Low Fat,Snack Foods
FDQ10,12.85,Low Fat,Snack Foods
FDQ11,5.695,Regular,Breads
FDQ12,12.65,Low Fat,Baking Goods
FDQ13,11.1,Low Fat,Canned
FDQ14,9.27,Low Fat,Dairy
FDQ15,20.35,Regular,Meat
FDQ16,19.7,Low Fat,Frozen Foods
FDQ19,7.35,Regular,Fruits and Vegetables
FDQ20,8.325,Low Fat,Fruits and Vegetables
FDQ21,21.25,Low Fat,Snack Foods
FDQ22,16.75,Low Fat,Snack Foods
FDQ23,6.55,Low Fat,Breads
FDQ24,15.7,Low Fat,Baking Goods
FDQ25,8.63,Regular,Canned
FDQ26,13.5,Regular,Dairy
FDQ27,5.19,Regular,Meat
FDQ28,14.0,Regular,Frozen Foods
FDQ31,5.785,Regular,Fruits and Vegetables
FDQ32,17.85,Regular,Fruits and Vegetables
FDQ33,13.35,Low Fat,Snack Foods
FDQ34,10.85,Low Fat,Snack Foods
FDQ36,7.855,Regular,Baking Goods
FDQ37,20.75,Low Fat,Breakfast
FDQ39,14.8,Low Fat,Meat
FDQ40,11.1,Regular,Frozen Foods
FDQ44,20.5,Low Fat,Fruits and Vegetables
FDQ45,9.5,Regular,Snack Foods
FDQ46,7.51,Low Fat,Snack Foods
FDQ47,7.155,Regular,Breads
FDQ48,14.3,Regular,Baking Goods
FDQ49,20.2,Regular,Breakfast
FDQ51,16.0,Regular,Meat
FDQ52,17.0,Low Fat,Frozen Foods
FDQ55,13.65,Regular,Fruits and Vegetables
FDQ56,6.59,Low Fat,Fruits and Vegetables
FDQ57,7.275,Low Fat,Snack Foods
FDQ58,7.315,Low Fat,Snack Foods
FDQ59,9.8,Regular,Breads
FDQ60,,Regular,Baking Goods
FDR01,5.405,Regular,Canned
FDR02,16.7,Low Fat,Dairy
FDR03,15.7,Regular,Meat
FDR04,7.075,Low Fat,Frozen Foods
FDR07,21.35,Low Fat,Fruits and Vegetables
FDR08,18.7,Low Fat,Fruits and Vegetables
FDR09,18.25,Low Fat,Snack Foods
FDR10,17.6,Low Fat,Snack Foods
FDR11,10.5,Regular,Breads
FDR12,12.6,Regular,Baking Goods
FDR13,9.895,Regular,Canned
FDR14,11.65,Low Fat,Dairy
FDR15,9.3,Regular,Meat
FDR16,5.845,Regular,Frozen Foods
FDR19,13.5,Regular,Fruits and Vegetables
FDR20,20.0,Regular,Fruits and Vegetables
FDR21,19.7,Low Fat,Snack Foods
FDR22,19.35,Regular,Snack Foods
FDR23,15.85,Low Fat,Breads
FDR24,17.35,Regular,Baking Goods
FDR25,17.0,Regular,Canned
FDR26,20.7,Low Fat,Dairy
FDR27,15.1,Regular,Meat
FDR28,13.85,Regular,Frozen Foods
FDR31,6.46,Regular,Fruits and Vegetables
FDR32,6.78,Regular,Fruits and Vegetables
FDR33,7.31,Low Fat,Snack Foods
FDR34,17.0,Regular,Snack Foods
FDR35,12.5,Low Fat,Breads
FDR36,6.715,Regular,Baking Goods
FDR37,16.5,Regular,Breakfast
FDR39,20.35,Low Fat,Meat
FDR40,9.1,Regular,Frozen Foods
FDR43,18.2,Low Fat,Fruits and Vegetables
FDR44,6.11,Regular,Fruits and Vegetables
FDR45,10.8,Low Fat,Snack Foods
FDR46,16.85,Low Fat,Snack Foods
FDR47,17.85,Low Fat,Breads
FDR48,11.65,Low Fat,Baking Goods
FDR49,8.71,Low Fat,Canned
FDR51,9.035,Regular,Meat
FDR52,12.65,Regular,Frozen Foods
FDR55,12.15,Regular,Fruits and Vegetables
FDR56,15.5,Regular,Fruits and Vegetables
FDR57,5.675,Regular,Snack Foods
FDR58,6.675,Low Fat,Snack Foods
FDR59,14.5,Regular,Breads
FDR60,14.3,Low Fat,Baking Goods
FDS01,11.6,Low Fat,Canned
FDS02,10.195,Regular,Dairy
FDS03,7.825,Low Fat,Meat
FDS04,10.195,Regular,Frozen Foods
FDS07,12.35,Low Fat,Fruits and Vegetables
FDS08,5.735,Low Fat,Fruits and Vegetables
FDS09,8.895,Regular,Snack Foods
FDS10,19.2,Low Fat,Snack Foods
FDS11,7.05,Regular,Breads
FDS12,9.1,Low Fat,Baking Goods
FDS13,6.465,Low Fat,Canned
FDS14,7.285,Low Fat,Dairy
FDS15,9.195,Regular,Meat
FDS16,15.15,Regular,Frozen Foods
FDS19,13.8,Regular,Fruits and Vegetables
FDS20,8.85,Low Fat,Fruits and Vegetables
FDS21,19.85,Regular,Snack Foods
FDS22,16.85,Regular,Snack Foods
FDS23,4.635,Low Fat,Breads
FDS24,20.85,Regular,Baking Goods
FDS25,6.885,Regular,Canned
FDS26,20.35,Low Fat,Dairy
FDS27,10.195,Regular,Meat
FDS28,8.18,Regular,Frozen Foods
FDS31,13.1,Regular,Fruits and Vegetables
FDS32,17.75,Regular,Fruits and Vegetables
FDS33,6.67,Regular,Snack Foods
FDS34,19.35,Regular,Snack Foods
FDS35,9.3,Low Fat,Breads
FDS36,8.38,Regular,Baking Goods
FDS37,7.655,Low Fat,Canned
FDS39,6.895,Low Fat,Meat
FDS40,15.35,Low Fat,Frozen Foods
FDS43,11.65,Low Fat,Fruits and Vegetables
FDS44,12.65,Regular,Fruits and Vegetables
FDS45,5.175,Regular,Snack Foods
FDS46,17.6,Regular,Snack Foods
FDS47,16.75,Low Fat,Breads
FDS48,15.15,Low Fat,Baking Goods
FDS49,9.0,Low Fat,Canned
FDS50,17.0,Low Fat,Dairy
FDS51,13.35,Low Fat,Meat
FDS52,8.89,Low Fat,Frozen Foods
FDS55,7.02,Low Fat,Fruits and Vegetables
FDS56,5.785,Regular,Fruits and Vegetables
FDS57,15.5,Low Fat,Snack Foods
FDS58,9.285,Regular,Snack Foods
FDS59,14.8,Regular,Breads
FDS60,20.85,Low Fat,Baking Goods
FDT01,13.65,Regular,Canned
FDT02,12.6,Low Fat,Dairy
FDT03,21.25,Low Fat,Meat
FDT04,17.25,Low Fat,Frozen Foods
FDT07,5.82,Regular,Fruits and Vegetables
FDT08,13.65,Low Fat,Fruits and Vegetables
FDT09,15.15,Regular,Snack Foods
FDT10,16.7,Regular,Snack Foods
FDT11,5.94,Regular,Breads
FDT12,6.215,Regular,Baking Goods
FDT13,14.85,Low Fat,Canned
FDT14,10.695,Regular,Dairy
FDT15,12.15,Regular,Meat
FDT16,9.895,Regular,Frozen Foods
FDT19,7.59,Regular,Fruits and Vegetables
FDT20,10.5,Low Fat,Fruits and Vegetables
FDT21,7.42,Low Fat,Snack Foods
FDT22,10.395,Low Fat,Snack Foods
FDT23,7.72,Regular,Breads
FDT24,12.35,Regular,Baking Goods
FDT25,7.5,Low Fat,Canned
FDT26,18.85,Regular,Dairy
FDT27,11.395,Regular,Meat
FDT28,13.3,Low Fat,Frozen Foods
FDT31,19.75,Low Fat,Fruits and Vegetables
FDT32,19.0,Regular,Fruits and Vegetables
FDT33,7.81,Regular,Snack Foods
FDT34,9.3,Low Fat,Snack Foods
FDT35,19.85,Regular,Breads
FDT36,12.3,Low Fat,Baking Goods
FDT37,14.15,Low Fat,Canned
FDT38,18.7,Low Fat,Dairy
FDT39,6.26,Regular,Meat
FDT40,5.985,Low Fat,Frozen Foods
FDT43,16.35,Low Fat,Fruits and Vegetables
FDT44,16.6,Low Fat,Fruits and Vegetables
FDT45,15.85,Low Fat,Snack Foods
FDT46,11.35,Low Fat,Snack Foods
FDT47,5.26,Regular,Breads
FDT48,4.92,Low Fat,Baking Goods
FDT49,7.0,Low Fat,Canned
FDT50,6.75,Regular,Dairy
FDT51,11.65,Regular,Meat
FDT52,9.695,Regular,Frozen Foods
FDT55,13.6,Regular,Fruits and Vegetables
FDT56,16.0,Regular,Fruits and Vegetables
FDT57,15.2,Low Fat,Snack Foods
FDT58,9.0,Low Fat,Snack Foods
FDT59,13.65,Low Fat,Breads
FDT60,12.0,Low Fat,Baking Goods
FDU01,20.25,Regular,Canned
FDU02,13.35,Low Fat,Dairy
FDU03,18.7,Regular,Meat
FDU04,7.93,Low Fat,Frozen Foods
FDU07,11.1,Low Fat,Fruits and Vegetables
FDU08,10.3,Low Fat,Fruits and Vegetables
FDU09,7.71,Regular,Snack Foods
FDU10,10.1,Regular,Snack Foods
FDU11,4.785,Low Fat,Breads
FDU12,15.5,Regular,Baking Goods
FDU13,8.355,Low Fat,Canned
FDU14,17.75,Low Fat,Dairy
FDU15,13.65,Regular,Meat
FDU16,19.25,Regular,Frozen Foods
FDU19,8.77,Regular,Fruits and Vegetables
FDU20,19.35,Regular,Fruits and Vegetables
FDU21,11.8,Regular,Snack Foods
FDU22,12.35,Low Fat,Snack Foods
FDU23,12.15,Low Fat,Breads
FDU24,6.78,Regular,Baking Goods
FDU25,12.35,Low Fat,Canned
FDU26,16.7,Regular,Dairy
FDU27,18.6,Regular,Meat
FDU28,19.2,Regular,Frozen Foods
FDU31,10.5,Regular,Fruits and Vegetables
FDU32,8.785,Low Fat,Fruits and Vegetables
FDU33,7.63,Regular,Snack Foods
FDU34,18.25,Low Fat,Snack Foods
FDU35,6.44,Low Fat,Breads
FDU36,6.15,Low Fat,Baking Goods
FDU37,9.5,Regular,Canned
FDU38,10.8,Low Fat,Dairy
FDU39,18.85,Low Fat,Meat
FDU40,20.85,Low Fat,Frozen Foods
FDU43,19.35,Regular,Fruits and Vegetables
FDU44,12.15,Regular,Fruits and Vegetables
FDU45,15.6,Regular,Snack Foods
FDU46,10.3,Regular,Snack Foods
FDU47,12.8,Regular,Breads
FDU48,18.85,Low Fat,Baking Goods
FDU49,19.5,Regular,Canned
FDU50,5.75,Regular,Dairy
FDU51,20.2,Regular,Meat
FDU52,7.56,Low Fat,Frozen Foods
FDU55,16.2,Low Fat,Fruits and Vegetables
FDU56,16.85,Low Fat,Fruits and Vegetables
FDU57,8.27,Regular,Snack Foods
FDU58,6.61,Regular,Snack Foods
FDU59,5.78,Low Fat,Breads
FDU60,20.0,Regular,Baking Goods
FDV01,19.2,Regular,Canned
FDV02,16.75,Low Fat,Dairy
FDV03,17.6,Low Fat,Meat
FDV04,7.825,Regular,Frozen Foods
FDV07,9.5,Low Fat,Fruits and Vegetables
FDV08,7.35,Low Fat,Fruits and Vegetables
FDV09,12.1,Low Fat,Snack Foods
FDV10,7.645,Regular,Snack Foods
FDV11,9.1,Regular,Breads
FDV12,16.7,Regular,Baking Goods
FDV13,17.35,Regular,Canned
FDV14,19.85,Low Fat,Dairy
FDV15,10.3,Low Fat,Meat
FDV16,7.75,Regular,Frozen Foods
FDV19,14.85,Regular,Fruits and Vegetables
FDV20,20.2,Regular,Fruits and Vegetables
FDV21,11.5,Low Fat,Snack Foods
FDV22,14.85,Regular,Snack Foods
FDV23,11.0,Low Fat,Breads
FDV24,5.635,Low Fat,Baking Goods
FDV25,5.905,Low Fat,Canned
FDV26,20.25,Regular,Dairy
FDV27,7.97,Regular,Meat
FDV28,16.1,Regular,Frozen Foods
FDV31,9.8,Low Fat,Fruits and Vegetables
FDV32,7.785,Low Fat,Fruits and Vegetables
FDV33,9.6,Regular,Snack Foods
FDV34,10.695,Regular,Snack Foods
FDV35,19.5,Low Fat,Breads
FDV36,18.7,Low Fat,Baking Goods
FDV37,13.0,Regular,Canned
FDV38,19.25,Low Fat,Dairy
FDV39,11.3,Low Fat,Meat
FDV40,17.35,Low Fat,Frozen Foods
FDV43,16.0,Low Fat,Fruits and Vegetables
FDV44,8.365,Regular,Fruits and Vegetables
FDV45,16.75,Low Fat,Snack Foods
FDV46,18.2,Low Fat,Snack Foods
FDV47,17.1,Low Fat,Breads
FDV48,9.195,Regular,Baking Goods
FDV49,10.0,Low Fat,Canned
FDV50,14.3,Low Fat,Dairy
FDV51,16.35,Low Fat,Meat
FDV52,20.7,Regular,Frozen Foods
FDV55,17.75,Low Fat,Fruits and Vegetables
FDV56,16.1,Regular,Fruits and Vegetables
FDV57,15.25,Regular,Snack Foods
FDV58,20.85,Low Fat,Snack Foods
FDV59,13.35,Low Fat,Breads
FDV60,20.2,Regular,Baking Goods
FDW01,14.5,Low Fat,Canned
FDW02,4.805,Regular,Dairy
FDW03,5.63,Regular,Meat
FDW04,8.985,Regular,Frozen Foods
FDW07,18.0,Regular,Fruits and Vegetables
FDW08,12.1,Low Fat,Fruits and Vegetables
FDW09,13.65,Regular,Snack Foods
FDW10,21.2,Low Fat,Snack Foods
FDW11,12.6,Low Fat,Breads
FDW12,8.315,Regular,Baking Goods
FDW13,8.5,Low Fat,Canned
FDW14,8.3,Regular,Dairy
FDW15,15.35,Regular,Meat
FDW16,17.35,Regular,Frozen Foods
FDW19,12.35,Regular,Fruits and Vegetables
FDW20,20.75,Low Fat,Fruits and Vegetables
FDW21,5.34,Regular,Snack Foods
FDW22,9.695,Regular,Snack Foods
FDW23,5.765,Low Fat,Baking Goods
FDW24,6.8,Low Fat,Baking Goods
FDW25,5.175,Low Fat,Canned
FDW26,11.8,Regular,Dairy
FDW27,5.86,Regular,Meat
FDW28,18.25,Low Fat,Frozen Foods
FDW31,11.35,Regular,Fruits and Vegetables
FDW32,18.35,Regular,Fruits and Vegetables
FDW33,9.395,Low Fat,Snack Foods
FDW34,9.6,Low Fat,Snack Foods
FDW35,10.6,Low Fat,Breads
FDW36,11.15,Low Fat,Baking Goods
FDW37,19.2,Low Fat,Canned
FDW38,5.325,Regular,Dairy
FDW39,6.69,Regular,Meat
FDW40,14.0,Regular,Frozen Foods
FDW43,20.1,Regular,Fruits and Vegetables
FDW44,9.5,Regular,Fruits and Vegetables
FDW45,18.0,Low Fat,Snack Foods
FDW46,13.0,Regular,Snack Foods
FDW47,15.0,Low Fat,Breads
FDW48,18.0,Low Fat,Baking Goods
FDW49,19.5,Low Fat,Canned
FDW50,13.1,Low Fat,Dairy
FDW51,6.155,Regular,Meat
FDW52,14.0,Regular,Frozen Foods
FDW55,12.6,Regular,Fruits and Vegetables
FDW56,7.68,Low Fat,Fruits and Vegetables
FDW57,8.31,Regular,Snack Foods
FDW58,20.75,Low Fat,Snack Foods
FDW59,13.15,Low Fat,Breads
FDW60,5.44,Regular,Baking Goods
FDX01,10.1,Low Fat,Canned
FDX02,16.0,Low Fat,Dairy
FDX03,15.85,Regular,Meat
FDX04,19.6,Regular,Frozen Foods
FDX07,19.2,Regular,Fruits and Vegetables
FDX08,12.85,Low Fat,Fruits and Vegetables
FDX09,9.0,Low Fat,Snack Foods
FDX10,6.385,Regular,Snack Foods
FDX11,16.0,Regular,Baking Goods
FDX12,18.2,Regular,Baking Goods
FDX13,7.725,Low Fat,Canned
FDX14,13.1,Low Fat,Dairy
FDX15,17.2,Low Fat,Meat
FDX16,17.85,Low Fat,Frozen Foods
FDX19,19.1,Low Fat,Fruits and Vegetables
FDX20,7.365,Low Fat,Fruits and Vegetables
FDX21,7.05,Low Fat,Snack Foods
FDX22,6.785,Regular,Snack Foods
FDX23,6.445,Low Fat,Baking Goods
FDX24,8.355,Low Fat,Baking Goods
FDX25,16.7,Low Fat,Canned
FDX26,17.7,Low Fat,Dairy
FDX27,20.7,Regular,Dairy
FDX28,6.325,Low Fat,Frozen Foods
FDX31,20.35,Regular,Fruits and Vegetables
FDX32,15.1,Regular,Fruits and Vegetables
FDX33,9.195,Regular,Snack Foods
FDX34,6.195,Low Fat,Snack Foods
FDX35,5.035,Regular,Breads
FDX36,9.695,Regular,Baking Goods
FDX37,16.2,Low Fat,Canned
FDX38,10.5,Regular,Dairy
FDX39,14.3,Regular,Meat
FDX40,12.85,Low Fat,Frozen Foods
FDX43,5.655,Low Fat,Fruits and Vegetables
FDX44,9.3,Low Fat,Fruits and Vegetables
FDX45,16.75,Low Fat,Snack Foods
FDX46,12.3,Regular,Snack Foods
FDX47,6.55,Regular,Breads
FDX48,17.75,Regular,Baking Goods
FDX49,4.615,Regular,Canned
FDX50,20.1,Low Fat,Dairy
FDX51,9.5,Regular,Meat
FDX52,11.5,Regular,Frozen Foods
FDX55,15.1,Low Fat,Fruits and Vegetables
FDX56,17.1,Regular,Fruits and Vegetables
FDX57,17.25,Regular,Snack Foods
FDX58,13.15,Low Fat,Snack Foods
FDX59,10.195,Low Fat,Breads
FDX60,14.35,Low Fat,Baking Goods
FDY01,11.8,Regular,Canned
FDY02,8.945,Regular,Dairy
FDY03,17.6,Regular,Meat
FDY04,17.7,Regular,Frozen Foods
FDY07,11.8,Low Fat,Fruits and Vegetables
FDY08,9.395,Regular,Fruits and Vegetables
FDY09,15.6,Low Fat,Snack Foods
FDY10,17.6,Low Fat,Snack Foods
FDY11,6.71,Regular,Baking Goods
FDY12,9.8,Regular,Baking Goods
FDY13,12.1,Low Fat,Canned
FDY14,10.3,Low Fat,Dairy
FDY15,18.25,Regular,Dairy
FDY16,18.35,Regular,Frozen Foods
FDY19,19.75,Low Fat,Fruits and Vegetables
FDY20,12.5,Regular,Fruits and Vegetables
FDY21,15.1,Low Fat,Snack Foods
FDY22,16.5,Regular,Snack Foods
FDY24,4.88,Regular,Baking Goods
FDY25,12.0,Low Fat,Canned
FDY26,20.6,Regular,Dairy
FDY27,6.38,Low Fat,Dairy
FDY28,7.47,Regular,Frozen Foods
FDY31,5.98,Low Fat,Fruits and Vegetables
FDY32,7.605,Low Fat,Fruits and Vegetables
FDY33,14.5,Regular,Snack Foods
FDY34,10.5,Regular,Snack Foods
FDY35,17.6,Regular,Breads
FDY36,12.3,Low Fat,Baking Goods
FDY37,17.0,Regular,Canned
FDY38,13.6,Regular,Dairy
FDY39,5.305,Regular,Meat
FDY40,15.5,Regular,Frozen Foods
FDY43,14.85,Low Fat,Fruits and Vegetables
FDY44,14.15,Regular,Fruits and Vegetables
FDY45,17.5,Low Fat,Snack Foods
FDY46,18.6,Low Fat,Snack Foods
FDY47,8.6,Regular,Breads
FDY48,14.0,Low Fat,Baking Goods
FDY49,17.2,Regular,Canned
FDY50,5.8,Low Fat,Dairy
FDY51,12.5,Low Fat,Meat
FDY52,6.365,Low Fat,Frozen Foods
FDY55,16.75,Low Fat,Fruits and Vegetables
FDY56,16.35,Regular,Fruits and Vegetables
FDY57,20.2,Regular,Snack Foods
FDY58,11.65,Low Fat,Snack Foods
FDY59,8.195,Low Fat,Baking Goods
FDY60,10.5,Regular,Baking Goods
FDZ01,8.975,Regular,Canned
FDZ02,6.905,Regular,Dairy
FDZ03,13.65,Regular,Dairy
FDZ04,9.31,Low Fat,Frozen Foods
FDZ07,15.1,Regular,Fruits and Vegetables
FDZ08,12.5,Regular,Fruits and Vegetables
FDZ09,17.6,Low Fat,Snack Foods
FDZ10,17.85,Low Fat,Snack Foods
FDZ12,9.17,Low Fat,Baking Goods
FDZ13,7.84,Regular,Canned
FDZ14,7.71,Regular,Dairy
FDZ15,13.1,Low Fat,Dairy
FDZ16,16.85,Regular,Frozen Foods
FDZ19,6.425,Low Fat,Fruits and Vegetables
FDZ20,16.1,Low Fat,Fruits and Vegetables
FDZ21,17.6,Regular,Snack Foods
FDZ22,9.395,Low Fat,Snack Foods
FDZ23,17.75,Regular,Baking Goods
FDZ25,15.7,Regular,Canned
FDZ26,11.6,Regular,Dairy
FDZ27,7.935,Low Fat,Dairy
FDZ28,20.0,Regular,Frozen Foods
FDZ31,15.35,Regular,Fruits and Vegetables
FDZ32,7.785,Regular,Fruits and Vegetables
FDZ33,10.195,Low Fat,Snack Foods
FDZ34,6.695,Low Fat,Starchy Foods
FDZ35,9.6,Regular,Breads
FDZ36,6.035,Regular,Baking Goods
FDZ37,8.1,Regular,Canned
FDZ38,17.6,Low Fat,Dairy
FDZ39,19.7,Regular,Meat
FDZ40,8.935,Low Fat,Frozen Foods
FDZ43,11.0,Regular,Fruits and Vegetables
FDZ44,8.185,Low Fat,Fruits and Vegetables
FDZ45,14.1,Low Fat,Snack Foods
FDZ46,7.485,Low Fat,Snack Foods
FDZ47,20.7,Regular,Baking Goods
FDZ48,17.75,Low Fat,Baking Goods
FDZ49,11.0,Regular,Canned
FDZ50,12.8,Regular,Dairy
FDZ51,11.3,Regular,Meat
FDZ52,19.2,Low Fat,Frozen Foods
FDZ55,6.055,Low Fat,Fruits and Vegetables
FDZ56,16.25,Low Fat,Fruits and Vegetables
FDZ57,10.0,Regular,Snack Foods
FDZ58,17.85,Low Fat,Snack Foods
FDZ59,6.63,Regular,Baking Goods
FDZ60,20.5,Low Fat,Baking Goods
NCA05,20.75,Low Fat,Health and Hygiene
NCA06,20.5,Low Fat,Household
NCA17,20.6,Low Fat,Health and Hygiene
NCA18,10.1,Low Fat,Household
NCA29,10.5,Low Fat,Household
NCA30,19.0,Low Fat,Household
NCA41,16.75,Low Fat,Health and Hygiene
NCA42,6.965,Low Fat,Household
NCA53,11.395,Low Fat,Health and Hygiene
NCA54,16.5,Low Fat,Household
NCB06,17.6,Low Fat,Health and Hygiene
NCB07,19.2,Low Fat,Household
NCB18,19.6,Low Fat,Household
NCB19,6.525,Low Fat,Household
NCB30,14.6,Low Fat,Household
NCB31,6.235,Low Fat,Household
NCB42,11.8,Low Fat,Health and Hygiene
NCB43,20.2,Low Fat,Household
NCB54,8.76,Low Fat,Health and Hygiene
NCB55,15.7,Low Fat,Household
NCC06,19.0,Low Fat,Household
NCC07,19.6,Low Fat,Household
NCC18,19.1,Low Fat,Household
NCC19,6.57,Low Fat,Household
NCC30,16.6,Low Fat,Household
NCC31,8.02,Low Fat,Household
NCC42,15.0,Low Fat,Health and Hygiene
NCC43,7.39,Low Fat,Household
NCC54,17.75,Low Fat,Health and Hygiene
NCC55,10.695,Low Fat,Household
NCD06,13.0,Low Fat,Household
NCD07,9.1,Low Fat,Household
NCD18,16.0,Low Fat,Household
NCD19,8.93,Low Fat,Household
NCD30,19.7,Low Fat,Household
NCD31,12.1,Low Fat,Household
NCD42,16.5,Low Fat,Health and Hygiene
NCD43,8.85,Low Fat,Household
NCD54,21.1,Low Fat,Household
NCD55,14.0,Low Fat,Household
NCE06,5.825,Low Fat,Household
NCE07,8.18,Low Fat,Household
NCE18,10.0,Low Fat,Household
NCE19,8.97,Low Fat,Household
NCE30,16.0,Low Fat,Household
NCE31,7.67,Low Fat,Household
